geno,ed50,std.error,ed50.f,std.error.f
20,35.1419,0.085,35.2255,0.0878
2,35.1497,0.131,35.0981,0.1458
18,34.5301,0.1855,34.5775,0.1504
19,35.3769,0.0935,35.4668,0.0798
16,35.6935,0.1322,35.2291,0.125
15,35.5147,0.1501,35.4732,0.1383
1,35.6059,0.0644,35.636,0.0529
4,36.0345,0.062,35.9974,0.0506
12,34.923,0.1156,34.9375,0.0938
5,35.6871,0.0576,35.7334,0.0969
6,35.0523,0.0686,35.0734,0.0823
11,36.4944,0.0793,36.4937,0.1028
14,34.5456,0.161,34.7365,0.0877
9,35.479,0.0783,35.5346,0.0886
10,35.6275,0.0482,35.6344,0.0401
3,35.7648,0.0672,35.7275,0.0799
17,35.5817,0.0754,35.5424,0.0582
7,34.3898,0.1363,34.3042,0.1749
13,36.5928,0.327,36.5928,0.327
8,34.9123,0.0576,34.9888,0.053900000000000003
