Date;Time;No.;PAR;F1;F2;Fm'1;Fm'2;Y(II)1;Y(II)2;
06.09.21;19:22:50;1;0;0.0225;0.0596;0.0225;0.0591;0.000;0.000;
06.09.21;19:23:10;2;0;0.0230;0.0596;0.0230;0.0601;0.000;0.000;
06.09.21;19:25:00;3;0;0.1261;0.0684;0.1290;0.0704;0.000;0.000;
