nursery,geno,ed50_202010,ed50_202109,std.error_202010,std.error_202109,mean_ed50
um,14y,35.99598649828398,35.781472435676115,0.21498888009956096,0.2116385520517876,35.88872946698005
um,15y,35.279897936897925,36.125976886262244,0.18657986493982712,0.2231592275399486,35.70293741158008
um,16y,35.82482958138847,35.163105909595295,0.12252126249259271,0.23133360018276844,35.49396774549189
um,19y,36.19040062502704,35.91115591851282,0.46015972709166814,0.2029425062102661,36.05077827176993
um,23y,35.86484112148237,36.296474374660946,0.17500467150237725,0.1183905983956938,36.08065774807166
um,27y,35.50134558724604,NA,0.2182242901241569,NA,35.50134558724604
um,28y,35.97741281732918,NA,0.24903232797211788,NA,35.97741281732918
um,29y,35.37396986698888,35.41221061676873,0.10627586971719058,0.14681814668317744,35.39309024187881
um,30y,35.76555765466038,35.82836803525103,0.17957344644020531,0.21188292130193442,35.7969628449557
um,32y,36.33161465019845,NA,0.6720031295288077,NA,36.33161465019845
um,36y,35.49903567956857,35.508333623154044,0.27452433650750446,0.14591601370498772,35.50368465136131
um,37y,35.546525608810036,NA,0.2673157793613695,NA,35.546525608810036
um,38y,35.769044086490624,35.350447957652314,0.38504638026537574,0.11852785954824739,35.559746022071465
um,39y,36.46315234340278,NA,0.6699426327558492,NA,36.46315234340278
um,40y,35.488314106142596,NA,0.43035868823538714,NA,35.488314106142596
um,41y,35.72906854003518,35.11110166105149,0.16629991949108205,0.19541516738309195,35.42008510054333
um,42y,35.673000594190256,35.66799011695753,0.28493461944619436,0.12761667000474444,35.67049535557389
um,44y,35.45084087078252,35.0494420581463,0.08083478863813111,0.1382240102602753,35.250141464464406
um,46y,35.66706263806819,34.8187775123271,0.13293274536518496,0.52990706776992,35.242920075197645
um,47y,36.41065622891546,36.32817886977574,0.17458106875348653,0.15860651150914062,36.3694175493456
um,48y,35.809504298484,35.50003650771402,0.23932495671943152,0.10742757120186203,35.65477040309901
um,49y,36.13015221353996,NA,0.25803328109339063,NA,36.13015221353996
um,52y,35.840154311739305,35.8328310599406,0.42623010809064976,0.10581149805444767,35.83649268583996
um,54y,35.84408809485759,35.4292285543536,0.2462222209620868,0.12113941335235469,35.63665832460559
um,55y,35.75795365807431,35.54269606596007,0.3343674660718968,0.17219913135479192,35.650324862017186
um,58y,36.0327327626166,34.98459441809226,0.523911951556055,0.14822420929088748,35.50866359035443
um,59y,35.25898103677966,35.38331719249226,0.2944930629645829,0.1020199045611707,35.32114911463596
um,60b,36.06468425830228,NA,0.15735915201528455,NA,36.06468425830228
um,63y,36.052444892346564,36.228002382718245,0.2556079937258188,0.1170842274364857,36.1402236375324
um,64y,36.24193238800078,35.861281337436665,0.2884320619524011,0.09428513478692399,36.05160686271872
um,66y,36.09928203482702,34.85484339826015,0.2184861395346722,0.27352376531234646,35.477062716543585
um,67y,35.87644443711865,34.82874941498524,0.22472334652388853,0.20416943656709646,35.352596926051945
um,68y,35.35547178812787,35.08640495818491,0.10740596930401115,0.13964100165031845,35.220938373156386
um,70y,35.863186947590606,36.0621057533149,0.2408909652790267,0.1440749318868881,35.96264635045276
um,71y,35.442953130296736,NA,0.2919797486264578,NA,35.442953130296736
um,82y,35.24466231206045,NA,0.10747572508916993,NA,35.24466231206045
um,85y,35.49949182914963,NA,0.09278534633210662,NA,35.49949182914963
um,88y,35.19018913316053,NA,0.08421125338268345,NA,35.19018913316053
um,89y,36.21926532059212,NA,0.3299547531941841,NA,36.21926532059212
um,90y,35.5905395229118,34.763659621298025,0.09806871954706559,0.12578838453303653,35.17709957210491
um,o.85,35.8141856202039,34.819700962327175,0.2905600005579089,0.2786918159845423,35.31694329126554
